Drugs,Cbln2,Cyp1a1,Muc2,Ankrd34a,Asb14,Ly6al,LOC102548022,Btbd2,Pax9,Mybl2,Tcp11,Palmd,Sez6l2,C1qtnf4,Cbfa2t3,Aldh1a2,LOC102549724 /// LOC102549828,LOC102552294,Wisp2,Magi1,Tubb4a,Katnbl1,RGD1308775,Mypop,Fam163b,Myoz1,Ctrl,Zfp385c,S100a3,Drp2,Tbcd,Fgf14,Defb1,Tmem107,Tacr1,Lyzl6,Drd2,Nup37,LOC102546927,Col5a3,Kprp,LOC102556906,Plxna3,LOC102549880,Rasgrf1,Fscn3,Retnla,Cpne7,Senp8,Fjx1,Igfl3,Bspry,Tmem182,Lix1,Camkv,Cckbr,Tmem151a,Akr1b7,Lhfpl2,Ap3b2,Kcnc3,Znrf2,LOC687508,Zfp592,Fbrs,Rimbp2,Ndrg4,Asah2,Slc24a4,Fa2h,Kcnj3,Paqr4,LOC102551963,Egflam,Lce3d,Trpm8,Fignl1,Slc34a1,Apc2,LOC102553932,Opcml,Olr1500,Purb,Srp54a,Col20a1,Glis1,Noxred1,Apaf1,Col15a1 /// LOC100909752,Amph /// LOC100909679 /// LOC100910792,LOC102557140,Nkx2-5,LOC100909684,Rpl3,Hap1,Hspa9,Pak3,RGD1311517,Msx1,Fam83h
2_4_dinitrophenol,4.113732857,5.621056797,4.557206014,5.988137319,5.945808705,4.764317336,4.740492994,7.111129353,4.12780619,4.29164801,6.060603647,5.83247087,5.839133647,5.435089996,5.049213083,6.367796318,4.863128331,4.68807905,4.250694609,4.843997805,7.219011376,5.293178249,5.520758279,5.861257943,5.663201449,4.391215736,5.832640504,5.026904268,5.466397925,5.095869705,4.972133573,3.950817922,5.085538075,4.771320371,4.666407095,4.384796164,4.813451938,4.195998624,4.565019038,5.653715969,5.145838577,6.007941713,5.899862599,5.398559201,5.324724084,4.330634496,5.683206937,6.84694175,6.139278003,4.425542289,5.543146124,5.502882242,3.879473594,4.278674914,5.284279996,6.24125952,5.92963623,6.54171938,5.640391782,5.923443708,4.82151518,4.261343941,4.850880651,5.153490253,6.012841132,5.002738339,5.166380268,5.712569361,5.463578737,5.624603964,4.917193414,5.937655104,5.297844944,4.980132887,5.53855,4.314031787,4.367532656,4.893550763,4.603637252,4.755682015,4.68953801,3.788620494,4.272369053,6.435795412,4.126959314,5.599134715,4.933054465,5.645698716,5.440721357,4.72546418,4.74129506,4.838571734,3.74898881,7.890802813,6.361593266,4.781245392,5.876300909,5.426240839,5.028892184,6.156894146
2_Nitroflourene,3.91182018,9.586218115,4.477198786,5.131910911,5.358716009,4.408373234,4.103751194,6.909659455,3.654588255,6.826976526,5.383131989,5.702953901,4.904067214,4.828463616,4.723808384,5.913068348,4.68607414,4.118909072,3.718108246,4.306178958,6.43912153,5.421443748,5.312701915,5.603688871,4.730242729,3.958181339,5.238130124,4.618390476,4.971779658,4.582080047,4.790303575,3.778734881,4.907549509,4.634338592,4.388055888,3.75320041,4.425884874,3.953835135,4.542494993,4.677238983,5.116360552,5.461752453,5.424559038,4.512991014,5.257604202,4.111089381,4.826760135,6.169501929,5.689989306,3.952286802,4.814952444,5.36009886,3.782540448,3.819964156,4.323024663,5.937747859,5.389128315,7.919194808,5.625370816,5.503878412,5.021679536,4.123357118,4.679514893,4.564291524,5.927147963,4.476820969,4.412033983,5.531069619,5.247333396,5.068371548,4.275436101,5.419689948,4.488747293,4.309496093,5.230127506,3.801336756,4.017672907,4.395818587,4.08088052,4.315607222,4.967467943,3.575866429,3.834632637,5.826566248,3.925663051,5.742753777,4.197085783,5.38250011,5.113569105,4.390922733,4.113147255,4.657758363,3.335479988,6.956520771,6.177895571,4.367660968,5.494938199,5.042678197,4.778849934,7.05104422
acarbose,3.238100145,4.199328974,3.238333777,4.381731237,3.995440318,3.925694521,3.93678982,5.384615819,3.052940764,3.396014092,4.758541984,4.033250636,4.343263025,4.4779114,3.853655264,4.486021081,3.782322076,3.073271022,3.697134734,4.22259324,5.877367881,4.034724676,3.74555368,4.822369039,3.719862907,3.615404752,4.379757974,3.650609856,4.028846496,3.672127904,3.769555779,3.145845075,3.687841644,3.658698998,3.767591114,3.510023781,3.753235195,3.855142,3.733380735,4.402508929,3.396072495,4.295551844,4.676168459,3.422831993,5.42820386,3.55308769,4.554969235,5.145930209,4.21856658,3.446071819,4.179609143,3.981390171,2.906366315,3.247606723,3.304445414,4.245417286,4.720594759,5.995678291,4.183589028,4.179524268,3.67481728,3.49115488,3.553734533,3.916195471,3.594087759,3.541840004,4.131791713,4.240999061,4.027889141,4.827762233,4.188022272,4.435066387,3.798012782,3.745457791,4.078261387,3.478545995,3.723650432,3.411792476,3.434764678,4.63680185,4.037062925,3.017195112,3.400947368,4.770833418,3.226099733,4.543252312,4.084226571,3.953937327,3.806625067,3.355965574,3.363319004,3.847077152,3.207118474,4.710124457,4.770771033,3.424448582,4.848431957,4.265762151,3.684982086,4.530183189
acetamidoflourene,3.699578665,9.83287571,4.40983121,4.887156177,5.139427009,4.43130229,3.981292595,6.726770279,3.757846663,4.142052024,5.019732677,4.256997419,5.009727299,4.609979541,4.865843804,5.357595167,4.265401001,4.394893526,3.896710905,4.311164939,6.240285336,4.288454525,4.679097089,5.415148235,4.477262385,3.947134551,4.930825011,4.292279833,4.634383224,4.729801216,4.162001943,3.463264435,4.553773488,4.494149192,3.989241139,4.197954501,4.109093107,3.882677234,5.332154243,4.562685348,4.329742392,5.34045243,5.184270989,4.208927629,4.989795634,4.222825894,4.794062843,5.733533587,4.983392035,3.986803457,4.608664185,4.828211481,3.548040569,3.846649822,4.158352625,5.490023392,5.719503505,6.883380126,4.859565834,4.967335012,4.344393679,3.965665805,4.801846344,4.799207476,4.429579107,4.155017751,4.717012974,5.066324402,4.754426943,4.908793509,4.778126044,5.173995714,4.466518375,4.339502294,4.847808182,4.232317906,4.120954231,4.298571735,4.041366944,4.454206355,4.154199632,3.519091081,4.244993215,5.464522612,4.395997118,5.546143115,4.357654961,4.601485997,4.765044327,4.134181939,4.401938729,4.540043631,3.829644211,6.761851654,5.273700932,4.073986065,5.264400021,5.052616772,4.22220227,6.331407705
acetaminophen,3.275615962,4.28068785,3.859138797,4.512096757,4.253206847,3.974544096,3.921551064,5.903916251,3.413218331,3.709576653,4.686478778,3.905774116,4.630771259,4.524512416,3.90421071,4.326100881,4.019813495,3.557761384,3.667031555,4.354750642,5.977474856,3.98292129,4.243455217,5.160700699,3.681542482,4.001156309,4.030094098,3.960310312,4.367647624,4.252001246,4.009373983,3.245596385,3.568450308,4.087052072,4.094161664,4.026301388,4.028805793,3.743181321,3.983866447,4.594307577,3.637605733,4.473976456,4.75269145,4.094230033,5.087562018,3.786560794,4.955802351,5.134925314,4.091761849,3.697231152,4.309010393,4.176088445,3.262942859,3.626857164,3.850442166,4.71361262,4.812107812,7.038564278,4.269822407,4.62466758,3.874303172,3.735790717,4.148954572,4.326324058,3.754754958,3.916483147,4.461335652,4.514502209,4.297312709,5.047018606,4.543183652,4.753612878,4.162832154,3.846814103,4.38109916,3.936386262,4.208588576,3.831545219,3.530236354,4.116238664,3.906380899,3.390992361,4.145564415,5.321126483,3.829649486,5.147972429,4.065273009,4.405107466,3.994108216,3.610766926,3.77893541,4.268149434,3.99831303,5.717182426,5.391688595,4.032143206,5.282041409,4.442018001,3.899227421,4.884484096
acetazolamide,3.834813034,4.233704232,4.161818606,4.724555815,4.775795537,4.26960997,3.912981387,6.091933186,3.659738632,3.823760816,5.158552032,4.480804458,4.449441318,4.525350904,4.653387442,4.74029204,4.148988556,3.849001699,3.707321056,4.183766158,6.075793321,4.209424334,4.490266751,5.199904114,4.037687021,3.936709465,4.404114876,4.139657891,4.469701609,4.363196917,4.009078789,3.554436205,4.206509237,3.951272708,3.888084136,3.854553594,4.109124867,3.778997826,4.295478803,4.26021853,3.719492405,4.85024562,5.083977935,4.154077883,5.077280957,3.93231272,4.626500632,5.651644106,4.436879906,3.882967371,4.476894886,4.250574798,3.318725783,3.642252774,3.833016814,4.819196799,4.891475342,4.919790611,4.734419288,4.465126664,4.104652048,3.644140598,3.964648372,4.506405373,4.055688789,3.999856245,4.222590989,4.822622086,4.661789155,4.954705598,4.785501643,4.721035921,4.194970003,3.904349509,4.531773956,3.616372879,4.155917838,4.146156641,3.805926444,4.147957644,4.369981469,3.417155261,3.684986968,5.35176703,3.8092071,5.073601427,4.500136853,4.672116411,4.518886326,3.863701183,3.788881091,3.869971762,3.673527104,5.905522286,5.327900222,3.821958682,5.078473876,4.576739729,4.193599854,4.883631932
adapin,3.831475954,5.056899753,4.43435982,5.513029754,5.116118303,4.607451901,4.683226444,6.47858456,3.677541441,4.15925777,5.690526347,4.667013678,5.138430994,5.400273472,4.961682958,5.152773079,4.887654555,4.076073884,4.024987669,4.987394505,6.666916489,4.784519515,4.963732312,5.813597644,4.602465779,4.455500286,4.927719795,4.471207693,5.11858149,4.982450577,4.639316939,3.70348515,3.947776105,4.506992882,4.715132934,4.637498389,4.609872999,4.546504609,4.918354841,4.984011484,4.254452984,5.417018625,5.371752114,4.506803734,5.890628835,4.484005369,5.809128956,5.829468907,5.292349862,4.159401191,5.292939668,4.674111306,3.702757079,4.111196539,4.315939371,5.23193312,5.433046968,6.099975459,4.667337007,4.953769933,4.529456102,4.081890244,4.381383151,4.66085959,4.274089362,4.447881907,5.13738041,4.722933175,4.785841235,5.684994882,5.466357264,5.184362185,4.736271068,4.625809078,5.00381221,4.257942519,4.534791854,4.048461549,4.118051991,5.161159667,4.660137097,3.704413947,4.735210911,5.963142184,3.968127367,5.713192035,5.103025685,4.817649786,4.540234092,4.001118098,4.314735196,4.845396041,4.42675369,5.489292309,6.044463326,4.250374098,5.736767797,5.179700382,4.954330161,5.148725304
ajmaline,3.479559565,4.519241631,4.558485362,4.530095992,4.413246639,4.644214966,3.801887945,6.212208838,3.654518885,3.653100534,4.604869325,4.704626022,4.569012429,4.269270682,4.466617162,5.145146646,3.591758824,3.958811822,3.709784849,4.236003501,5.699110958,4.571264978,4.12677774,4.774216884,4.143738595,3.726239339,4.52882211,4.094685068,4.342671605,4.349346006,4.041436376,3.31172957,3.913077391,4.434101296,3.766182274,4.087360068,3.752868092,3.994436418,5.059167157,4.022140185,4.217542584,4.707341948,4.750832133,3.736146801,4.562924547,3.641358195,4.465792786,5.713370285,4.732364319,3.80882605,4.443408824,4.636945601,3.483840097,4.172727898,4.011226278,4.796850156,5.200054752,6.983402607,4.834080003,4.695953066,4.3922512,4.724120598,4.211509645,4.239015083,4.608799807,4.032077744,4.33356711,4.814675867,4.591614917,4.537644649,4.224049222,4.774904631,4.306926343,4.120882365,4.259029769,3.653094392,3.892050403,4.928085303,4.258452269,3.94049867,3.925545713,3.464521192,3.987145536,4.896265403,3.853640387,4.644017946,3.973147835,4.37999683,4.740247693,3.690440477,3.886571903,4.089131764,3.619765141,7.298523649,4.591945689,4.36065237,4.764001358,4.494615113,4.100775963,5.108901911
allopurinol,3.51345066,4.655698649,4.060885541,4.843506303,4.695489305,4.235979009,4.11885282,6.442908039,3.501463917,3.537213384,4.926323448,4.482170524,4.532403555,4.604374647,4.271470338,5.220909642,3.959645712,3.736323109,3.599545034,4.040030902,6.190572093,4.062876398,4.23594237,5.228745698,4.209683428,3.832075949,4.540541105,4.174935794,4.339406922,4.158084251,3.98256082,3.369075279,4.015177431,3.896152721,3.907341573,3.734943828,4.119750365,3.76959041,4.292538662,4.524105562,3.875556512,5.135194188,5.006518643,3.981461254,4.725015601,3.751022884,4.634429518,5.560892838,4.93059135,3.802416081,4.73290798,4.322701074,3.251448291,4.01195381,4.186961136,5.141968168,5.066392339,5.632632484,4.234859632,4.773907172,3.946287015,4.090344701,4.088367827,4.452192725,3.997836703,3.966616897,4.404182315,4.620502892,4.001179839,4.423452048,4.461512839,4.724625919,4.292726882,4.125834574,4.690711567,3.69465793,3.817346848,3.766848072,3.7762362,4.099705198,4.004635116,3.267398314,3.994937945,5.30559957,3.663096076,5.275955842,4.49333225,4.299031088,4.187948393,3.713600788,3.958802641,4.111994052,3.637894494,5.714139075,5.316512026,3.967369112,5.283597132,4.389620474,4.325003546,4.993415836
allyl_alcohol,3.529274941,4.402522872,3.96765793,4.574558148,4.351162955,4.024325503,4.192061217,6.101671426,3.377028854,3.713625636,4.919253218,3.848383111,4.633957433,4.845931912,3.967246369,4.83797247,4.296370017,3.44932557,3.679611878,4.555169669,6.090925196,3.993316647,4.265027263,5.261677103,3.694029094,4.098173903,4.569101405,3.9553648,4.423578226,4.432254909,3.937717482,3.298508292,3.693582256,4.092096379,4.161686358,4.108492286,4.344374071,3.931654067,4.001827438,4.63507382,3.584843018,5.006255088,4.774752796,4.386714359,5.757843896,4.022624296,5.246944032,5.188285669,4.101474662,3.955200938,4.335116487,4.20343118,3.228308638,3.546472561,3.689654468,4.664164139,4.907368312,5.015038264,4.034678006,4.357726762,3.821747886,3.69844277,4.203982691,4.405568637,3.634467608,4.15314837,4.414821864,3.899931539,4.201290704,5.35386067,4.85438636,4.683719564,3.905502958,3.943966811,4.453342543,3.792394693,4.177011964,3.992738313,3.448101517,4.507849023,4.302628925,3.376550502,4.263437618,5.441872981,4.505631301,5.392650403,4.230823265,4.198737677,4.121812764,3.731107171,3.700625556,4.483405844,3.671978292,6.481878201,5.013778375,4.035869164,5.32092748,4.671469243,3.934042984,4.594803755
