Drugs,RPS4Y1,DDX3Y,EIF1AY,XIST,XIST,XIST,CYP2C8,FAM76B,DDX3Y,XIST,KDM5D,XIST,ANKRD1,EIF1AY,PMAIP1,ERAP2,TXLNGY,ZFY,EDNRB,CYP3A4,COL1A1,LOC101928820,XIST,MMP1,IGFBP7,SULT1C2,PMAIP1,TNC,C5orf27,SULT1C2,HSP90B1,TXLNGY,ROBO1,SPG20,HTATSF1P2,CCL2,PLA2G2A,LMCD1,CYP2A6,TAGLN,ERAP2,CHI3L1,CYP2A6,GSTT1,CXCL5,TM9SF3,PANK2,IL20RB,CYP2B6,NCKAP1,UTP18,MGAM,RHEB,ALG5,CHI3L1,ERAP2,C6orf141,DAAM1,SLCO1B3,ALB,ZNF880,TXN,ANXA1,DDX3Y,PNN,MREG,CALCA,CYP3A4,ERAP2,PTX3,ENPP2,AKR1D1,GSTM3,IFI16,EMC7,AKR1B10,SEMA3C,HSPA6,LOC220729 /// SDHA /// SDHAP1 /// SDHAP2,DCN,TWF1,CXCL6,SLC51A,SLC7A11,TTTY15,CYP2A6,MMP10,RPAIN,ACSL4,MTPN,MMP3,MMP12,LOC338620,HSPA6,MYO1D,RASSF4,ACSM2A,TSPAN8,EME1,LOC100507389
"2,4-dinitrophenol",11.95575251,9.914566915,9.862732433,4.551249808,3.763691189,3.521010633,10.51708283,5.736455751,8.519977652,3.166969679,8.581978485,2.822541057,9.02035036,7.540158786,5.152347405,4.012496126,7.388835753,7.11879039,3.754859842,8.309779045,4.389489324,8.530060796,2.733959064,6.274915469,5.586146294,6.031071139,6.73190281,7.483589745,7.908922342,6.660858721,5.464273606,6.759917908,2.987370936,8.925177583,7.474396874,6.089334081,11.43186043,9.520463882,9.392803262,7.557744249,4.891080434,9.436504059,9.130539278,3.828430931,4.12392525,4.346640726,4.077886029,7.693713494,9.10194459,5.089096071,3.454154865,3.844429147,5.071480531,4.028553694,8.795754476,3.175174387,6.119237377,8.694241933,7.75932635,7.933279696,6.858269736,7.36244937,8.593761907,6.334141836,5.601421272,4.877683766,4.81937619,8.515142431,3.897208812,3.195792086,3.146994105,7.76846034,8.145408386,4.500103084,3.946966467,11.7015755,6.04575789,10.27867487,4.738644136,5.302894112,5.235498535,6.810461318,7.048650942,8.114707036,6.377750803,8.616339371,7.134252369,4.45291895,7.880087314,4.109572396,9.528513641,6.126234,8.135280614,9.290396271,6.862719353,7.540386723,5.87066812,7.1884168,7.300991468,5.982515553
2-nitrofluorene,11.95323272,10.06363043,10.05783204,4.442220476,3.987129927,3.859694397,10.83507213,5.774417087,8.425203098,3.186260227,8.792098557,2.97839276,9.281053939,7.807613955,5.239738947,4.295245279,7.844369988,7.919827577,3.587771394,8.435857224,4.184438998,8.982459773,2.80283454,6.582858106,5.362243916,5.51593427,6.793283475,6.809171318,8.061938644,6.015990333,5.439910321,7.019333021,3.236139201,9.118937901,7.760872674,5.572666508,11.47664988,8.470668614,9.492508457,7.195181855,5.219480986,9.491101594,9.363730633,4.114482648,3.900853557,5.299318642,4.122300739,7.813468859,8.926738857,5.83307142,3.858683335,3.99077063,5.769411077,4.34588956,8.795063865,3.48820427,6.663793688,8.993554942,7.322021407,8.273450833,6.994220081,7.925519159,8.433238848,6.748450883,5.94006901,5.428159202,5.111348418,8.562695495,3.978695533,3.486235227,3.529315215,7.423606527,8.353511887,4.791196107,4.448550466,11.84083836,6.317621277,10.57172942,4.658887884,5.13956918,5.805830703,7.158354303,7.772351463,8.906839728,6.746202196,8.903791593,7.113930213,5.298744518,8.231299137,4.699965488,9.404554187,6.269326798,8.165493007,9.732256301,7.299006101,7.805259306,6.840871655,7.187586857,7.563287539,6.250688189
acarbose,4.332303099,3.479919134,3.644356103,10.55365489,9.428426233,9.419101506,4.375973287,9.594212518,3.891108238,8.384746905,3.746877787,8.149091628,10.04027215,3.800633083,4.942308061,6.928781104,3.583200883,3.430027165,3.541713386,5.006648233,3.509625054,9.759773711,7.459645983,9.180310357,3.528779099,3.664929133,6.705306844,5.695982911,7.417382577,3.568255277,10.58750666,3.310991171,4.169751034,8.862550767,4.847325673,9.348983521,13.45586037,7.445058815,4.8033156,6.430666472,6.787068214,7.147456386,4.915133257,8.591579334,4.827915869,8.563326298,7.153433109,5.274032757,4.314770435,8.971465869,6.98166066,5.965535392,8.7835325,7.961235905,7.272927133,5.129732043,4.45365752,7.997115327,5.388111306,11.48470447,4.49252893,10.97831722,5.825551061,3.743148773,8.938940759,6.677623327,4.564909828,6.581594002,6.222853364,3.670353979,4.629422346,4.156750798,10.30578677,5.483121257,8.000475487,10.2562363,3.744106985,11.68615782,9.447478319,4.332035663,8.622347803,9.028114637,5.694583563,6.976123317,3.787427647,4.710831681,8.170357633,7.955253083,7.33687845,7.533537135,8.507617724,4.403907579,4.635372253,10.80024478,4.359996158,4.971562039,7.248433192,5.263394155,10.33650363,4.509240384
acetamidofluorene,3.542999392,2.893140742,3.177644739,9.230572245,6.998993523,7.518202762,3.156473231,7.279894771,3.305817523,6.21644765,3.278982676,6.104648421,8.205096303,3.02551458,3.348820684,4.459342564,3.092519587,2.847799312,3.04487653,3.808245318,2.853535385,8.174994177,4.432003859,7.200812832,2.883380002,3.064891873,3.932761536,3.720704246,5.137011947,3.021200608,9.443994322,2.82978252,3.054227109,6.428469112,3.100990416,5.227668733,12.36770745,5.077468751,4.062973002,4.438608224,4.886305782,5.229465841,3.99763512,7.05909345,3.176993041,6.882804337,5.520732958,3.526338181,3.386888693,8.212157584,4.073070772,3.728279544,7.725216177,6.608475058,5.262516114,3.847586629,3.379271783,6.368999046,3.529937755,10.66573306,3.034408519,10.37926755,4.286292932,3.111852021,7.349593831,3.902935775,3.448337794,5.004453452,3.760990107,3.068470586,3.315390355,3.122509479,8.342088401,3.294476715,5.64979862,8.075128985,2.907981625,10.62814112,7.354146225,3.487735913,7.131941347,4.898666914,3.938026983,3.805999695,3.115253607,4.091747958,5.875080222,6.149759021,3.990579479,5.248240187,5.7377708,3.137268344,3.459353274,10.17091021,3.232403329,3.674096877,3.647181941,3.302469025,8.735367957,3.422431794
acetaminophen,5.854215983,2.848718815,2.86585381,10.2075287,10.65140408,9.552989187,8.482021951,5.150827126,3.878689214,8.714768316,3.943346428,7.662841716,5.946491478,3.06013076,3.542871693,8.418811881,2.901016166,2.528316101,3.922747802,5.940966103,7.663240148,4.953147841,7.890432286,5.541725458,5.561359661,8.541220678,5.306002552,5.245364857,4.175783023,8.201549942,6.460280077,2.746901148,7.161982637,8.290678445,4.910073684,6.042472817,12.84018561,7.110502058,7.904043551,6.319387454,8.505952612,11.65160812,7.869821847,8.437793049,4.690939215,4.579194532,3.539289463,7.964028885,7.832455099,5.137471685,3.618109651,5.525997561,5.189920655,4.035685551,11.35715999,7.234430178,5.062626472,8.237565129,5.01938068,7.923662294,3.035326363,7.164501809,7.982315228,3.919243665,5.904295867,8.920876324,9.007393676,7.257665539,7.433422921,3.440710222,7.335394139,4.033716501,6.888077012,5.23357614,4.222377703,11.56944488,2.960367423,8.288007996,5.265367956,5.796205342,4.609641915,5.275808391,8.938674714,6.010632509,2.992522906,7.774226361,5.788038727,4.42998686,6.975291272,3.918131087,7.018821733,4.071314273,7.284801899,7.76822964,7.713660213,8.066826936,8.332065936,7.557220526,6.927878149,7.428316952
acetazolamide,4.620281199,3.438714376,3.495419098,10.23671854,9.2625695,9.16261477,4.23832298,9.799743544,3.761622479,8.260375264,3.978614114,8.259780714,10.14471287,3.624456704,4.747868271,6.777568669,3.671603816,3.268730559,3.569296679,5.357269171,3.552933004,9.536079183,7.428785189,8.967139635,3.411126279,3.46872199,6.367820674,5.612441895,7.050087113,3.646027368,10.50142788,3.206606552,4.067168646,8.831845067,5.742415095,7.730850906,13.15880971,7.129916511,5.096837391,6.11826197,6.980948208,6.928548645,4.494286133,8.278153948,4.098143545,7.99428887,7.410973527,5.379972533,4.943260732,8.548124862,6.770421685,5.133470996,8.409102479,7.420462898,6.841228001,5.495328647,5.253336844,7.678603017,4.999041226,11.37933438,4.460028802,10.64261454,6.080883127,3.797787982,8.778482757,6.313335639,4.743834944,6.538484428,5.896179746,3.51739486,4.50072198,3.991816828,9.749885152,5.330166198,7.541847878,9.930446095,3.541573264,11.51769101,9.281785507,4.360955891,8.245138987,8.055223475,5.788572555,6.568451275,3.680804624,4.937345449,7.883272997,7.739512751,8.173328714,7.423523622,8.142688737,4.528951416,4.68716627,10.67959305,3.988976956,5.048178872,7.019974703,6.038472957,10.33503481,4.172726437
adapin,4.829926047,2.595563444,2.787900196,9.863004144,9.585108831,8.292696149,8.121011811,3.554610271,3.762350497,7.626076132,3.607828587,7.087802507,5.216737482,2.702362813,3.264872811,8.146895632,2.673001407,2.476208225,3.279345233,5.504949634,6.759683399,3.766529768,6.537081362,4.835128663,4.419940225,8.010594532,4.871504352,4.544775724,4.241777808,8.137587412,6.501047592,2.65401984,7.229300494,7.015178559,3.24292284,5.735899647,12.46511367,6.655151476,7.104701499,4.734958828,7.746239259,10.78170968,7.227312016,8.449435771,3.920907924,4.175669072,3.114847114,7.677764926,6.596594117,5.688359048,3.228490286,4.106595927,4.760787443,4.040968355,10.73097955,6.743155569,3.173402953,7.625856347,4.559017814,7.524228048,2.988511223,7.025861136,7.39874784,3.335079191,5.04767697,8.616404522,8.386962571,6.697103024,7.435121545,2.956515055,6.648351109,3.863141438,6.433941389,4.289646575,4.279510793,11.57403394,2.791227446,7.575182715,4.74299623,4.676604732,4.066367918,4.421183889,8.513720198,5.747524501,2.984508593,7.000595782,5.536174044,4.666306888,4.705744978,4.23472364,6.25720216,3.668428669,5.15924599,6.892618183,7.310654029,6.767775917,8.308567802,7.388223472,7.28357836,7.545795398
ajmaline,4.978226819,3.516494292,3.504908475,10.3868231,9.046625473,9.426093231,4.461634182,9.043930689,4.003243686,8.26895037,4.010619777,7.935959527,10.92224313,3.911157602,8.801948772,3.814786327,3.729244264,3.377528161,5.527719538,5.374583943,9.508298636,8.830271753,6.696111786,7.732426064,7.658190862,3.705279808,9.929558383,8.45468641,5.555087983,3.865181876,10.52395999,3.387398793,4.729955514,9.371839128,3.35272136,8.059804252,11.26634076,8.17757436,6.247022423,7.178920357,3.971988785,7.86561084,5.922726013,7.614462438,7.441184968,8.149577299,6.702295037,4.552299595,4.269195811,8.502761449,6.687427077,4.699018876,8.248837368,7.634972012,7.832884662,3.916609741,5.892185767,5.479886249,9.146926849,11.03352702,3.582031869,10.23441071,10.94961192,3.938065102,8.771096963,8.801583787,5.371496088,7.178939702,4.124072388,5.489110692,4.361295027,4.338827689,5.936685601,6.969505681,7.51258118,8.181614107,5.910718364,10.23279926,6.872966369,7.514271018,8.039925514,4.526706619,5.784513508,8.307972083,3.73773532,6.721020444,7.269216666,7.817083195,7.845621727,7.101013474,9.30015201,4.640118834,6.912599823,9.436852955,4.564620043,5.022329348,4.402361657,4.559710328,10.23936955,3.849844089
allopurinol,5.363137701,2.807008828,3.023871458,9.9259067,10.03246336,8.935534202,8.4854836,3.594008526,3.775607039,8.339413078,3.503870362,7.432885509,5.619931445,2.946744556,3.29527218,8.395610899,2.814386988,2.664862924,3.22809125,5.503180534,7.474264678,4.45465499,7.319156717,5.216007864,4.839564768,8.329600352,5.386081819,5.241084026,4.148835056,8.228431129,6.346619823,2.755480947,7.499997553,7.663008202,3.415121043,5.697520808,12.63631121,7.139157508,7.222654437,5.765851551,8.229382898,11.09315239,7.271358373,8.439564568,4.911949901,4.564243233,3.353652412,8.129905146,7.054260843,5.364387334,3.34523779,4.651886824,4.885379305,3.79189577,10.56205603,7.184613691,3.759793784,8.170584631,5.143439778,7.413739376,3.045883959,7.196861078,7.683625337,3.518391405,5.123512653,8.922940305,8.31396009,6.934377141,7.750681378,3.147127933,7.333027337,4.297654883,7.042441884,4.533904403,4.110229925,11.99667558,2.939070171,7.736912346,4.882079006,4.915262196,3.979902577,4.798921296,8.687669507,5.958757483,3.026948371,6.950378467,5.425590639,4.143756961,5.145664947,3.898139724,6.699141838,3.694984674,5.501542286,7.137848674,7.648899847,7.481850915,9.171162747,7.699274621,6.960241941,7.65203756
allyl_alcohol,4.451557608,2.803759651,2.766851378,8.514711982,9.48481073,7.526810025,7.826792131,3.725561186,3.411735284,6.991846737,3.46606244,5.509957942,4.480541582,2.896884664,2.888557951,7.235051776,2.808537933,2.494842921,3.055985665,4.896731875,6.017513975,4.148691127,5.792823324,4.451113817,3.735673393,7.575915428,3.932715669,4.021076469,3.649400049,7.739161358,5.358109744,2.65840676,6.316004097,7.233699407,3.631960196,4.843768732,12.22195226,5.839089152,6.997054383,4.697441638,7.352028109,10.56817453,6.909883884,7.309883155,3.396131802,4.151357258,2.899265511,7.338306333,6.657396471,3.975502678,3.155225966,3.391325862,4.275117752,3.676630515,10.65016332,5.901284148,3.742757659,7.773838931,3.629697435,7.311582271,2.750232842,6.360458407,6.961876386,3.227989775,4.438939931,7.922725656,7.916744269,5.98446233,6.156515439,2.791774436,6.184503408,3.732192155,5.686784704,3.746320729,3.458576367,11.12262835,2.638635177,7.879694625,3.507069915,4.463656707,3.696100624,4.089467676,8.510644428,4.738263067,2.755719337,7.002741011,4.728093751,3.885681024,4.485278351,3.889838153,5.968161673,3.318894404,4.905375521,7.525293113,6.082754917,6.547157837,8.124043594,6.999187165,6.263318921,7.439268056
